Abréviation,Raison sociale,Nom,Spécialité,Catégorie pour la cartographie,Domaine d’études,Localité,Département,Région,Rattachement,Commentaires,Exclusif aux doctorant.e.s/docteur.e.s,Site internet,"Pages
réseaux",Contact,"Toujours en
activité ?",Commentaires prise de contact,"Représentation
sur la carte",,,,,,,,,
ADocs,Association,Association des Doctorants et jeunes chercheurs de l’université de La Rochelle,"Représentation, Réseau, événements",Générale,Tous,La Rochelle,(17) Charente-Maritime,Nouvelle-Aquitaine,Université de La Rochelle,"Représentation des doctorants au sein de l’université de La Rochelle, au niveau
national, et auprès du grand public.
L’association favorise aussi et surtout les rencontres et les échanges entre les
doctorants de différentes disciplines autour de projets culturels et d’animations. De
nombreuses soirées et sorties culturelles ou sportives sont organisées tout au long de
l’année.",Oui,https://adocs.univ-lr.fr/presentation/,"Twitter
Facebook",adocs@univ-lr.fr,Oui,Répondu le 19/01/23,Oui,,,,,,,,,
ADOCT,Association,Association des Doctorants de Tours,"Réseau, information, événements",Générale,Tous,Tours,(37) Indre-et-Loire,Centre-Val-de-Loire,Université de Tours,"Aide à l’insertion professionnelle des troisièmes cycles de l’université de Tours, accueil
et information des nouveaux étudiants chercheurs.
Afterwork / Conférence / Sortie culturelle",Oui,- - -,"Facebook
Instagram",adoct.asso@gmail.com,Oui,Répondu le 29/03/23,Oui,,,,,,,,,
ADOUM,Association,Association des Doctorants de l'Université du Mans,"Réseau, informations, événements",Générale,- - -,Le Mans,(72) Sarthe,Pays-de-la-Loire,Le Mans Université,"L'ADoUM a pour but de réunir les doctorants présents sur le campus du Mans, de
s’ouvrir à d’autres thèmes de recherche, d'échanger nos expériences de jeunes
chercheurs et de partager des moments conviv iaux entre doctorants.",Oui,"https://adoum.univ-
lemans.fr/fr/index.html?fbclid=IwAR0rT-oZXLAbnfhU-",Facebook,adoum@univ-lemans.fr,Oui,,Oui,,,,,,,,,
ADSFA,Association,Association des Doctorants en Sciences Fondamentales et Appliquées,"Représentation, Promotion, réseau",Générale,Sciences Fondamentales et Appliquées,Nice,(06) Alpes-Maritimes,PACA,"Ecole Doctorale en Sciences
Fondamentales et Appliquées,
UNS
(ED SFA UNS)","· Représenter les doctorants de l’ED SFA de l’UNS ;
· Promouvoir et valoriser leur formation doctorale ;
· Faciliter les liens entre doctorants, anciens, actuels et futurs, des différentes disciplines
SFA
Transfert de l’école doctorale de l’UNS (Nice-Sophia-Antipolis) vers l’UCA en 2016",Oui,https://adsfa.wordpress.com/,- - -,doc.edsfa@gmail.com,Oui,,Oui,,,,,,,,,
ADSL,Association,Association des doctorants en Sciences de Lille,"Réseau, échanges, promotion",Générale,Sciences,Lille,(59) Nord,Hauts-de-France,Université de Lille,"L’ADSL  a été créée par des doctorants en sciences. Elle œuvre pour les doctorants de
plusieurs écoles doctorales du collège doctoral de Lille notamment dans :
- L’animation de la v ie de l’école doctorale en favorisant les rencontres et la
communication entre doctorants ;
- La promotion du titre de docteur auprès du monde de l’entreprise.",Oui,- - -,Facebook,,Oui,,Oui,,,,,,,,,
ADSO,Association,Association des Doctorants Scientifiques Orléanais,"Réseau, informations, événements",Générale,Sciences et Techniques,Orléans,(45) Loiret,Centre-Val-de-Loire,"Ecole Doctorale Sciences et
technologies d'Orléans","L'objectifs de l'ADSO sont de proposer des activ ités originales et conviv iales pour
permettre aux doctorants, jeunes doctorants et toute autre personne intéressée par le
monde de la recherche et de l'enseignement supérieur, de se rencontrer dans la
meilleure ambiance possible.",Non,https://adso-orleans.blogspot.com,Facebook,Via le groupe Facebook (privé),Oui,,Oui,,,,,,,,,
ADSTIC,Association,Association des doctorants du Campus Sciences et Technologies de l’Information et de la Communication de Sophia-Antipolis,Aide générale,Générale,"STIC
Science et technologie de l'information et de la communication",Sophia-Antipolis,(06) Alpes maritimes,"Provence-Alpes-Côte
d’Azur",Ecole doctorale,"The association aims to help PhD students and postdoctoral fellows from the SophiaTech
campus. This includes all the PhD students from the STIC doctoral school (EDSTIC) as
well as students and postdocs working in the different labs of the campus.
Axes : Social, scientifique, administratif",Oui,https://adstic.i3s.univ-cotedazur.fr/en/index.php,"Twitter
Facebook",- - -adstic@i3s.unice.fr,Oui,,Oui,,,,,,,,,
Aquidoc,Association,Aquidoc,Carrière secteur privé ou semi-privé,"Carrière, Formation",Tous,Bordeaux,(33) Gironde,Nouvelle-Aquitaine,Université de Bordeaux,"Association pluridisciplinaire qui a pour but de favoriser la poursuite de carrière des
jeunes chercheurs, des doctorants et docteurs, hors secteur académique, autrement dit
dans les secteurs privé et semi-public.",Oui,https://aquidoc.fr/contact/,"Twitter
Facebook
LinkedIn
Instagram",contact@aquidoc.fr,Oui,,Oui,,,,,,,,,
AIDOC,Association,Association Interdisciplinaire des Doctorant.e.s de l’Ouest en Confluences,"Promotion, réseau, informations",Générale,Sciences humaines et sociales,Angers,(49) Maine-et-Loire,Pays-de-la-Loire,Université d'Angers,"Association qui valorise les initiatives et les projets interdisciplinaires des doctorant.e.s
en Sciences Humaines et Sociales à l'Université d'Angers",Oui,https://associationaidoc.wordpress.com,"Twitter
Facebook
LinkedIn
Instagram",asso.aidoc@gmail.com,Oui,,Oui,,,,,,,,,
AJC06,Association,Association des Jeunes chercheurs du 06,Aide générale,Générale,Tous,Nice,(06) Alpes-maritimes,"Provence-Alpes-Côte
d’Azur",Université Côte d’Azur (UCA),"Dynamisation scientifique et culturelle de la vie doctorale de l’Université Côte d’Azur,
Information et communication entre doctorants de l'Université Côte d’Azur, Valorisation
de la formation par la recherche et aide à l’insertion professionnelle des jeunes
chercheurs, Représentation et défense des jeunes chercheurs des Alpes-Maritimes.",Oui,https://www.ajc06.com/,"Instagram
Facebook",contact@ajc06.com,Oui,,Oui,,,,,,,,,
"AJCO
(49)",Association,Association des Jeunes Chercheurs de l’Ouest,"Promotion, valorisation",Générale,Histoire,Angers,(49) Maine-et-Loire,Pays-de-la-Loire,Université d'Angers,"L’association a pour but de valoriser les travaux des apprentis chercheurs
(principalement des masterants et des doctorants) dont les thématiques traitent d’histoire
par le biais de publications sous un format numérique.",Non,https://ajco49.fr,"Twitter
Facebook
LinkedIn
Instagram",contact@ajco49.fr,Oui,,Oui,,,,,,,,,
ALPHA,Association,Angers biology Labs PhD students Association,"Réseau, information, événements",Générale,Biosanté,Angers,(49) Maine-et-Loire,Pays-de-la-Loire,Université d'Angers,Association des chercheurs en biologie et santé de l'université d'Angers.,Oui,- - -,Facebook,alpha.these@gmail.com,Oui,,Oui,,,,,,,,,
Alt516,Association,Alt516,"Réseau, information, recherche",Générale,Tous,Saint-Etienne,(42) Loire,Auvergne-Rhône-Alpes,"Université Jean Monnet (Saint-
Etienne)","alt 516 est une association qui rassemble les jeunes doctorant(e)s stéphanois(e)s
d'arts, lettres et langues et d'autres disciplines pour créer des lieux d'échanges autour
des pratiques de recherche en cycle doctoral.",Oui,https://alt516.fr/,"Twitter
Facebook
Instagram",alt516@protonmail.com,Oui,,Oui,,,,,,,,,
ANCMSP,Association,Association nationale des candidat·es aux métiers de la science politique,Défense des droits des jeunes chercheurs,Défense des droits,Sciences politiques,National,National,National,- - -,"Association de défense des droits des chercheur·es précaires dans le domaine de la
science politique et dans les disciplines proches. Elle a vocation à lutter contre la casse
du service public et pour l’amélioration des conditions de travail des non-titulaires.",Oui,https://ancmsp.com/qui-sommes-nous/,"Twitter
Facebook",bureau@ancmsp.com,Oui,,Oui,,,,,,,,,
ANDès,Association,Association Nationale des Docteurs,Réseau,Générale,Tous,National,National,National,- - -,Promouvoir le Doctorat. Antennes locales dans toute la France.,Oui,https://andes.asso.fr/,"LinkedIn
Facebook",- - -,Oui,,Oui,,,,,,,,,
APAREA,Association,Association de Promotion et d’Aide à la Recherche en Archéologie,"Entraide, soutien, promotion",Générale,Archéologie,Toulouse,(31) Haute-Garonne,Occitanie,Toulouse 2,"Encourager la vocation archéologique des étudiants et d’attiser la passion du grand
public en proposant un soutien aux étudiants, la promotion de l’archéologie,
l’enrichissement culturel et scientifique, communication v ia site, réseaux sociaux, édition
d’un bulletin et d’une newsletter.",Non,https://blogs.univ-tlse2.fr/aparea/,"Instagram
Facebook",contact.aparea@gmail.com,Oui,,Oui,,,,,,,,,
APEC,Association,Association pour l’emploi des cadres,"Insertion professionnelle, formation","Carrière, Formation",Tous,National,National,National,- - -,"Réseau de 500 consultants (y compris à la Martinique, en Guadeloupe et à la Réunion),
accompagnement, conseils, formations.",Non,https://www.apec.fr/,"Twitter
Facebook
Instagram
LinkedIn","Formulaire de contact sur le s ite
internet
ou
0809 361 212 (appel gratuit)",Oui,,Oui,,,,,,,,,
ASA,Association,Association des Sciences Archéologiques,"Entraide, soutien, promotion",Générale,Archéologie,Bordeaux,(33) Gironde,Nouvelle-Aquitaine,Bordeaux Montaigne,"Promouvoir les sciences appliquées à l'archéologie et à la conservation du patrimoine
culturel. L'association représente le master Archéologie.
Elle favorise l'insertion des étudiant.e.s issu.e.s par le bais de rencontres (conférences,
séminaires, colloques) et de sorties culturelles.Elle permet également de s 'informer sur
l'avancement de la discipline.L'ASA cherche à développer l'échange des informations et
la c irculation des personnes entre pays.",Non,"Twitter
Facebook","Twitter
Facebook",asa.bdx@gmail.com,Oui,,Oui,,,,,,,,,
ATACS,Association,ATACS,"Réseau, promotion, événements",Générale,"Sciences, ingienierie",Gif-sur-Yvette,(78) Yvelines,Île-de-France,"Centrale Supélec, Université
Paris-Saclay","Organise des événements sociaux, culturels et professionnels (CARaDOC) pour
animer la v ie du campus et fomenter les échanges entre PhDs students.",Oui,"https://www.universite-paris-
saclay.fr/associations/atacs",Facebook,atacs.bureau@listes.centralesupe,Oui,"Ai contacté Nicolas (admin du
groupe Fb) via Messenger.
L'association est en cours de
transition vers un nouveau
président après une pause depuis
le Covid (2020). Il m'a demandé de
la faire figurer sur la carte.",Oui,,,,,,,,,
"Bien dans ma
thèse",Blog,Bien dans ma thèse,"Information, solidarité",Générale,Tous,National,National,National,- - -,"Podcasts, v logs, artic les à propos du doctorat et ce qui s 'y rattache.",Non,https://www.biendansmathese.com,"Twitter
YouTube
SoundCloud",biendansmathese@gmail.com,Oui,,Oui,,,,,,,,,
Bioaddoct,Association,Bioaddoct,Aide générale,Générale,Biologie,Lille,(59) Nord,Hauts-de-France,"Ecole doctorale de Biologie -
Santé de Lille",Association des étudiants doctorants de l’Ecole Doctorale de Biologie Santé de Lille,Oui,- - -,"Twitter
Facebook
Instagram
Discord",bioaddoct14@gmail.com,Oui,,Oui,,,,,,,,,
Biodocs,Association,Biodocs,"Insertion professionnelle, suivi de projet, réseau","Carrière, Formation",Sciences de la v ie,Lyon,(69) Rhône,Auvergne-Rhône-Alpes,Université de Lyon 1,"BioDocs Lyon est une association cherchant à accompagner les futurs et jeunes
diplômés en sciences de la v ie dans leur projet professionnel. Pour ceci nous
organisons divers évènements au cours de l’année (tables-rondes, ateliers-emplois,
apéros réseau et vis ites d’entreprise) dans le but de présenter les débouchés dans le
secteur, d’aider à préparer les outils  pour la recherche d’emploi et de permettre de
développer et entretenir un réseau dynamique.",Non,http://www.biodocslyon.com,Facebook,biodocslyon@gmail.com,Oui,,Oui,,,,,,,,,
CD LIDILEM,Communauté doctorante,Communauté Doctorante du LIDILEM,"Réseau, information",Générale,"Linguistique, Sciences du langage",Grenoble,(38) Isère,Auvergne-Rhône-Alpes,LIDILEM,"Communauté organisée des doctorants du Laboratoire de Linguistique et Didactique
des Langues Etrangères et Maternelles",Oui,https://lidilem.univ-grenoble-alpes.fr/,"Twitter
Facebook",- - -,Oui,,Oui,,,,,,,,,
CGC,Syndicat,Cunsulta di a Ghjuventu Corsa,Défense des droits,Défense des droits,Tous,Corte,(2B) Haute-Corse,Corse,"Pasquale Paoli (seule université
de Corse)","Nous nous engageons à être présents pour le bien être et le respect des droits des
étudiants, et pour la pérennisation de l'Université de Corse, en partic ipant à la mise en
place de parcours d'avenir. Nos priorités concerneront le volet social, à savoir la
rénovation et l'amélioration des services du CROUS (WIFI, bourses...), l'accès à des
logements décents.",Non,- - -,"Twitter
Instagram","cgccorte@gmail.com
06.70.66.53.83",Oui,,Oui,,,,,,,,,
CJC,Confédération d’associations,Confédération des Jeunes Chercheurs,"Défense des droits, valorisation",Générale,Tous,"National
(Locaux à Paris)","National
(Locaux à Paris)","National
(Locaux à Paris)",- - -,"Regroupe des associations de doctorant·es et de docteur·es en emploi non permanent,
bénévolement impliqué·es dans la valorisation du doctorat, sa reconnaissance en tant
qu'expérience professionnelle, mais elle défend également les droits des jeunes
chercheur·es (conditions de travail, rémunération, ...). Au niveau national, de par son
expertise sur le doctorat, elle est une interlocutrice priv ilégiée des pouvoirs publics
(Gouvernement, Parlement, Conseil National de l’Enseignement Supérieur et de la
Recherche, ...) et de toute structure souhaitant échanger sur le sujet (associations,
entreprises, syndicats, ...). Au niveau européen, elle partic ipe à la réflexion sur le
doctorat et les jeunes chercheur·es par l’intermédiaire de la fédération d'associations
EURODOC, dont elle est membre fondatrice.",Oui,https://c jc.jeunes-chercheurs.org/presentation/,"Twitter
Facebook","contact@cjc.jeunes-
chercheurs.org",Oui,,Oui,,,,,,,,,
CLASCHES,Association,Collectif de lutte anti-sexiste contre le harcèlement sexuel dans l’enseignement supérieur,Lutte contre le harcèlement,Luttes contre le harcèlement et les v iolences morales et sexuelles,Tous,National,National,National,- - -,"Collectif de lutte contre le harcèlement sexuel dans l’enseignement supérieur.
Association féministe ouverte à l’ensemble des étudiant·e·s, doctorant·e·s,
enseignant·e·s et/ou chercheur·e·s et personnels BIATSS.",Non,https://c lasches.fr/le-c lasches/,Facebook,clasches@gmail.com,Oui,,Oui,,,,,,,,,
Coll.Doc,Syndicat,Syndicat des travailleurs et travailleuses précaires de l'Université Paris-Saclay,Défense des droits,Défense des droits,Tous,Paris-Saclay,"(75) Paris, (91) Essonne",Île-de-France,- - -,"Fondé le 9 mars 2023, Coll·Doc est le Syndicat des travailleurs et travailleuses
précaires de l’Université Paris-Saclay.",Non,https://colldoc.fr,Twitter,contact@colldoc.fr,Oui,,"Non (car
Syndicat)",,,,,,,,,
Confluences,Collectif,Confluences,"Promotion, valorisation de la recherche",Générale,"Sciences humaines et sociales, Lettres, Arts",Lyon,(69) Rhône,Auvergne-Rhône-Alpes,- - -,"Association de promotion des sciences humaines et sociales, lettres et arts depuis 2012.",Non,https://confluence.hypotheses.org/,Twitter,"benoit.vaillot@eui.eu
ou 06.32.16.47.57",Oui,,Oui,,,,,,,,,
Consulid,Association,Consulid,Complémentarité doctorants/acteurs économiques privés,"Carrière, Formation",Tous,Lille,(59) Nord,Hauts-de-France,Université de Lille,"Consulid est animée par des doctorants de toutes disciplines qui apportent des
solutions adaptées aux multiples défis des acteurs économiques des Hauts-de-France,
à travers des études et expertises réalisées par des spécialistes dans les nombreux
domaines de compétences de l’Université de Lille. Il a pour but de rapprocher les
doctorants et les entreprises v ia des missions de Conseil. En effet, les compétences
développées par les doctorants sont en parfaite adéquation avec l’expertise demandée
par des entreprises en quête d’innovation.",Oui,https://consulid.univ-lille.fr,"Twitter
LinkedIn",consulid@univ-lille.fr,Oui,,Oui,,,,,,,,,
D2i2,Association,Doctorants et Docteurs des deux Infinis,"Réseau, solidarité, soutien",Générale,"Physique et chimie nucléaire, physique des particules, astrophysique, cosmologie... (toutes les
thématiques de l’in2p3)",Paris et banlieue,"(75), (78), (91), (92), (93),
(94), (95)",Île-de-France,- - -,"Doctorants et Docteurs des deux Infinis (D2I2) est un réseau social et professionnel qui,
comme son nom l’indique, est destiné aux doctorants et docteurs des deux infinis.
D2I2 vous accompagne tout au long de votre parcours, depuis votre entrée en M2,
pendant votre doctorat et même après votre thèse. Chaque mois, un Afterwork est
organisé.",Oui,http://d2i2.in2p3.fr/,Facebook,d2i2@in2p3.fr,Oui,"Réponse le :
15/02/2023",Oui,,,,,,,,,
Dakodoc,Association,Dakodoc,"Réseau, information, événements, promotion",Générale,- - -,Brest,(29) Finistère,Bretagne,Université de Brest,"L'association Dakodoc regroupe les doctorants des 11 écoles doctorales de Brest. Elle
contribue à rassembler les doctorants de diverses disciplines autour d'événements
conviv iaux et scientifiques s 'adressant à tout public.
Cette association est à l'origine de l'événement Science en Theizh, un événement de
vulgarisation scientifique destiné au grand public durant lequel les doctorants sont
amenés à présenter leur sujet de thèse sous différents formats.",Oui,- - -,"Facebook
YouTube",asso.dakodoc@gmail.com,Oui,,Oui,,,,,,,,,
Dicensus,Collectif,Défense et Information des Chercheurs et Enseignants Non-Statutaires de l’Université de Strasbourg,Défense du service public de l’ESR,Défense des droits,- - -,Strasbourg,(67) Bas-Rhin,Grand-Est,Université de Strasbourg,"Collectif créé en 2014 à Strasbourg par des doctorant.es et docteur.es militant pour la
défense du service public de l’Enseignement supérieur et de la Recherche. Il assume
une fonction explic itement politique d’information, de représentation et de défense des
non-statutaires et prend position sur les politiques et les pratiques de l’Université de
Strasbourg en la matière.",Oui,- - -,"Twitter
Facebook",dicensus.info@gmail.com,Oui,,Oui,,,,,,,,,
Doc SP,Association,"Association des doctorants, anciens doctorants et jeunes chercheurs de l’Ecole Doctorale de Santé Publique","Réseau, événements",Générale,Santé publique,Le Kremlin-Bicêtre,(94) Val-de-Marne,Île-de-France,"École doctorale de santé
publique (EDSP)","Animer la v ie sociale de l'ED et favoriser les échanges entres doctorants des différentes
disciplines que concerne la santé publique, v ia l'organisation d'activ ités, de soirées, de
week-ends, de sorties.",Oui,"https://www.universite-paris-
saclay.fr/associations/doc-sp","Twitter
Instagram",asso.doc420@gmail.com,Oui,Réponse le 23/01/23,Oui,,,,,,,,,
Doc’Up,Association,Doc’Up,"Représentation, Promotion, réseau",Générale,Tous,Paris,(75) Paris,Île-de-France,Paris Sorbonne Universités,"S’engage à représenter les doctorants, valoriser le doctorat et l’université, animer le
réseau de doctorants, réunir doctorants, organismes publics et privés et le grand public
ainsi qu’à accompagner les doctorants dans leur projet professionnel.",Oui,http://www.doc-up.info/,"Twitter
Facebook
LinkedIn",contact@doc-up.info,Oui,,Oui,,,,,,,,,
"Doct’Auvergn
e",Association,Doct’Auvergne,"Réseau, événements",Générale,Tous,Clermont-Ferrand,"(63) Puy-de-Dôme
(Allier, Cantal, Haute-Loire)",Auvergne-Rhône-Alpes,- - -,"Objectif d’améliorer la communication au sein de la communauté des doctorants et
jeunes docteurs et de proposer des événements variés.",Oui,https://doctauvergne.fr/lassociation/,"Twitter
Facebook",doctauvergne@gmail.com,Oui,,Oui,,,,,,,,,
Doctopus,Observatoire,Doctopus,Généraliste,Générale,Tous,National,National,National,- - -,"Observatoire indépendant de la v ie doctorale. Doctopus vise à développer et maintenir
une base de connaissances autour des questions relatives à la v ie doctorale.",Oui,https://doctopus.hypotheses.org/,"Twitter
Facebook
LinkedIn",observatoire.doctopus@gmail.co,Oui,,Oui,,,,,,,,,
,,,,,,,,,,,,,m,,,,,,,,,,,,,
"Doctorant.e.s
INRAE",Collectif,Doctorant.e.s INRAE,Défense des droits (égalité salariale),Défense des droits,Tous,National,National,National,INRAE,"Mobilisation des doctorant-e-s de l'INRAE contre les inégalités de salaire entre
doctorant-e-s de l'institut.",Oui,- - -,Twitter,collectif.doctorantes.inrae@gmail.c,Oui,,Oui,,,,,,,,,
"Doctorant.e.s
solidaires",Cause (?),Doctorant.e.s solidaires,Défense des droits,Défense des droits,Tous,Montpellier,(34) Hérault,Occitanie,Université Paul Valéry,- - -,Oui,- - -,Facebook,- - -,Oui,,Oui,,,,,,,,,
DynAMU,Association,Le réseau (dynamique) des doctorants d’Aix-Marseille université,"Solidarité, entraide",Générale,Tous,"Aix-en-Provence,
Marseille",,(13) Bouches-du-Rhônes,,"Provence-Alpes-Côte
d’Azur",,Université d’Aix-Marseille,,"Soutenir les projets, créer du lien, valoriser le doctorat",Oui,http://dynamu.fr/lassociation,,Facebook,,contact@dynamu.fr,,Oui,,Réponse le 24/01/23,,Oui
EFiGiES,Association,EFiGiES,"Solidarité, développement et reconnaissance de la filière",Générale,"Études sur le féminisme, le genre, les sexualités",National,,National,,National,,- - -,,"Association qui v ise à créer de la solidarité entre étudiant·e·s, doctorant·e·s et jeunes
chercheur·e·s en Études Féministes, Genre et Sexualités à travers une mise en
commun de savoirs et d’informations. S’engage pour la reconnaissance et le
développement des recherches et des enseignements issus du féminisme à l’université.",Non,https://efigies-ateliers.hypotheses.org/,,- - -,,contact.efigies@gmail.com,,Oui,,Réponse le 19/01/23,,Oui
"Espace
Doctorants",Association,Espace Doctorants,"Réseau, accompagnement, promotion, événements",Générale,Sciences humaines et sociales,Lille,,(59) Nord,,Hauts-de-France,,"École doctorale Sciences de
l’Homme et de la Société",,"Accompagner : Fédérer les doctorants et docteurs en SHS, informer les doctorants sur
les études doctorales.
Échanger : Favoriser les échanges transdisciplinaires et la diffusion de la recherche,
développer des échanges avec d’autres associations ayant des buts s imilaires.
Valoriser : Les compétences du docteur et du doctorant vers l’extérieur, favoriser
l’insertion professionnelle des doctorants et jeunes docteurs en SHS.
Pour atteindre les objectifs fixés, Espace Doctorants organise des évènements tout au
long de l’année, les « CaféDoc », évènement mensuel tourné vers le milieu académique
et les « AfterDoc », évènement mensuel autour de l’insertion professionnelle.
Mais Espace Doctorants réalise et soutient également différentes manifestations et
actions ponctuelles qui répondent à ses objectifs (Colloques, Revue Mosaïque,
Formations de l’Ecole Doctorale et du PRES, Evènements de la Chambre des
Commerces et de l’Industrie...).",Oui,- - -,,Facebook,,espace.doctorants@gmail.com,,Oui,,,,Oui
"Étudiant des
VSS dans
l’ESR",Observatoire,Observatoire Étudiant des violences sexistes et sexuelles dans l’ESR,Défense des droits (v iolences sexistes et sexuelles),Luttes contre le harcèlement et les v iolences morales et sexuelles,Tous,National,,National,,National,,- - -,,"L’observatoire propose d’établir un état des lieux des violences sexuelles et sexistes
dans l’enseignement supérieur.",Non,https://observatoire-vss.com/lassociation,,"Twitter
Facebook
Instagram",,observatoire.vss@gmail.com,,Oui,,,,Oui
